TransectID;TotalA;Lprop;FP;Fol;TC
thlypopsis;8.3;0.120481928;0;7.5;1.6
solo;10.9;2.844036697;0;6;1.86
atras;7.9;0;0;7.416666667;2
adelante;9.9;1.313131313;0;7.516666667;1.85
degozaru;8.5;0;0.235294118;7.75;1.76
cont5;10.4;0.865384615;0;8.25;1.41
cont4;14;1.928571429;0.545454545;7.291666667;1.41
cont4;14;1.928571429;0.454545455;7.291666667;1.41
cont6;9.7;0.103092784;0.272727273;4.275;1.44
cont6;9.7;0.103092784;0.333333333;4.275;1.51
cont5;10.4;0.865384615;0.333333333;8.25;1.47
cont4;14;1.928571429;0.444444444;7.291666667;1.42
pecari;48.8;0.12295082;0.375;4.258333333;4.12
adelante;37.2;0.161290323;0.769230769;3.258333333;0.89
adelante;37.2;0.161290323;0;3.258333333;3.33
atras;50.3;0;0.8125;2.483333333;1.23
atras;50.3;0;0;2.483333333;3.67
solo;21.1;1.706161137;0.5;4.333333333;1.56
solo;21.1;1.706161137;0.416666667;4.333333333;2.13
pecari;48.8;0.12295082;0.428571429;4.258333333;1.73
degozaru;166.6;0;0.176470588;2.125;2.37
degozaru;166.6;0;0.2;2.125;2.54
thlypopsis;80;0.025;0;4.683333333;1.36
thlypopsis;80;0.025;0.5;4.683333333;1.837
cont3;17;1.176470588;0.956521739;6.708333333;1.64
cont3;17;1.176470588;0.086956522;6.708333333;1.64
cont3;17;1.176470588;0.769230769;6.708333333;1.69
cont2;13.2;0.757575758;0.25;6.791666667;1.35
cont2;13.2;0.757575758;0.15;6.791666667;1.35
cont2;13.2;0.757575758;0.375;6.791666667;2.58
cont2;13.2;0.757575758;0.25;6.791666667;2.58
cont1;10.9;0.917431193;0.173913043;8.416666667;1.29
cont1;10.9;0.917431193;0.285714286;8.416666667;1.47
cont4;11.8;2.457627119;0;2.8;2.44
cont4;11.8;2.457627119;0.333333333;2.8;0.67
cont6;26;2.846153846;0.3;2.158333333;1.69
cont6;26;2.846153846;0.333333333;2.158333333;1.38
cont5;19;1.684210526;0.466666667;3.858333333;2
cont5;19;1.684210526;0.4;3.858333333;2
cont5;19;1.684210526;0;3.858333333;0.35
quebbl;69.9;0.042918455;0.307692308;2.366666667;2.45
chico;81.9;0.061050061;0.4;2.785833333;1.84
asio1;11.1;0.09009009;0.095238095;4.519166667;1.54
asio2;15.8;0.379746835;0;3.675;1.57
cont6;20.1;0.049751244;0;5.016666667;3.62
cont4;23.5;0.468085106;0;7.791666667;3.82
cont4;23.5;0.468085106;0;7.791666667;1.72
cont5;23.2;0.25862069;0;6.158333333;3.4
cont6;20.1;0.049751244;0;5.016666667;1.98
cont5;23.2;0.25862069;0;6.158333333;2.52
cont2;15.4;1.298701299;0;9.35;3.89
cont1;10.9;0.366972477;0;9.708333333;4.15
cont1;10.9;0.366972477;0;9.708333333;2.3
cont3;12.8;0.78125;0;8.433333333;3.64
cont2;15.4;1.298701299;0;9.35;2.54
cont3;12.8;0.78125;0;8.433333333;2.98
solo;33.5;0.358208955;0;5.283333333;3.72
degozaru;204.5;0.014669927;0.1875;8.416666667;3.57
pecari;18.2;0.10989011;0;5.416666667;3.25
degozaru;204.5;0.014669927;0;8.416666667;2.32
solo;33.5;0.358208955;0;5.283333333;2.42
atras;22;0.818181818;0;7.208333333;2.53
thlypopsis;26.2;1.145038168;0;7.833333333;2.8
pecari;18.2;0.10989011;0.173913043;5.416666667;2.39
adelante;37.9;0.316622691;0;7.791666667;2.53
atras;22;0.818181818;0;7.208333333;2.93
adelante;37.9;0.316622691;0.294117647;7.791666667;3.47
thlypopsis;26.2;1.145038168;0.181818182;7.833333333;2.92
derecho;17.8;0.112359551;0;6.291666667;2.75
